id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
news_all_vwap,"VWAP across all sessions (pre, main, post)","{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.728,616,1484,[]
news_atr14,14-day Average True Range,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.8947,690,3659,[]
news_atr_ratio,Ratio of current day's price range to 20-day average true range,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.7967,729,2270,[]
news_cap,Reported total market capitalization for the calendar day of the session,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.8272,1802,6557,[]
news_close_vol,Main session close volume,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.6909,503,1630,[]
news_curr_vol,Current day's session volume,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.7769,413,868,[]
news_dividend_yield,Reported annual dividend yield percentage for the calendar day of the session,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.8534,211,389,[]
news_eod_close,Session closing price,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.8778,1205,2880,[]
news_eod_high,Highest price from the time of news to end of session,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.9707,433,1249,[]
news_eod_low,Lowest price from the time of news to end of session,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.9707,278,857,[]
news_eod_vwap,VWAP from the time of news to the end of the session,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.9673,597,1077,[]
news_eps_actual,Actual Earnings Per Share reported in the news release,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.9646,526,1361,[]
news_high_exc_stddev,"Standardized measure of price movement from end-of-day high to last price in the time-of-news window, divided by 30-day closing price standard deviation","{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.9652,451,1191,[]
news_indx_perf,Difference in percent return between the stock and the S&P 500 ETF over the session: ((EODClose - TONLast) / TONLast) - ((SPYClose - SPYLast) / SPYLast),"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.9713,430,1301,[]
news_low_exc_stddev,"Standardized measure of price movement from last price in time-of-news window to end-of-day low, divided by 30-day closing price standard deviation","{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.9707,433,1073,[]
news_ls,"Indicates if a long or short position would have been more advantageous, based on comparison of (EODHigh - Last) and (Last - EODLow)","{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.488,253,680,[]
news_main_vwap,Main session volume-weighted average price,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.9707,348,910,[]
news_max_dn_amt,Price at the time of the news minus the after-news low,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.9704,376,1346,[]
news_max_dn_ret,Percent change from price at time of news to lowest price after news,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.9704,580,1136,[]
news_max_up_amt,After-news high minus the price at the time of the news,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.9692,350,887,[]
news_max_up_ret,Percent change from price at time of news to highest price after news,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.8458,1102,1891,[]
news_mins_10_chg,"Minimum value among L or S for each minute bucket, indicating the fastest reaction time at the 10th percentile","{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.7395,436,1276,[]
news_mins_10_pct_dn,Number of minutes elapsed before price decreases by 10 percentage points after the event,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.0428,3338,7656,[]
news_mins_10_pct_up,Number of minutes before the price increased by at least 10 percent after the news release,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.6282,911,1818,[]
news_mins_1_chg,Minimum number of minutes taken for price to move (up or down) 1 percentage point after the event,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.9175,259,547,[]
news_mins_1_pct_dn,Number of minutes before the price decreased by at least 1 percent after the news release,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.8309,201,570,[]
news_mins_1_pct_up,Number of minutes before the price increased by at least 1 percent after the news release,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.1857,317,568,[]
news_mins_20_chg,The minimum of L or S above for 20-minute bucket,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.9142,1079,2185,[]
news_mins_20_pct_dn,Number of minutes that elapsed before price went down 20 percentage points,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.9678,510,1032,[]
news_mins_20_pct_up,Number of minutes that elapsed before price went up 20 percentage points,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.9673,266,439,[]
news_mins_2_chg,Minimum number of minutes taken for price to move (up or down) 2 percentage points after the event,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.5275,150,345,[]
news_mins_2_pct_dn,Number of minutes before the price decreased by at least 2 percent after the news release,"{'id': 'news12', 'name': 'US News Data'}","{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,MATRIX,1.0,0.4407,162,336,[]
