id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
primary_sector_focused_company_count,Number of companies primarily focused in a given sector.,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,1.0,0.3508,25,31,[]
pv13_1l_scibr,grouping fields,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,GROUP,,0.9256,1294,3202,[]
pv13_2l_scibr,grouping fields,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,GROUP,,1.0,164,320,[]
pv13_3l_scibr,grouping fields,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,GROUP,,1.0,928,1638,[]
pv13_4l_scibr,grouping fields,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,GROUP,,1.0,521,736,[]
pv13_5l_scibr,grouping fields,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,GROUP,,1.0,664,965,[]
pv13_6l_scibr,grouping fields,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,GROUP,,1.0,474,728,[]
pv13_com_page_rank,the PageRank of competitors,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,,0.8966,1118,1948,[]
pv13_com_rk_au,the HITS authority score of competitors,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,,0.8966,1229,2233,[]
pv13_custretsig_retsig,Sign of customer return,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,1.0,0.9276,1101,2588,[]
